기간	자치구	총이동	총이동	총이동	총이동	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	구간이동	구간이동	구간이동	구간이동	구간이동	구간이동	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	전입(②)	전입(②)	전입(②)	전출(③)	전출(③)	전출(③)	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	소계	남자	여자	소계	남자	여자	소계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2021	도봉구	36,895	18,208	18,687	42,682	21,259	21,423	11,844	5,742	6,102	15,678	7,738	7,940	15,237	7,471	7,766	9,373	4,728	4,645	15,601	8,046	7,555	-5,787	-3,051	-2,736
2021	노원구	58,736	28,763	29,973	68,473	33,973	34,500	18,539	8,866	9,673	22,295	10,835	11,460	22,981	11,172	11,809	17,902	9,062	8,840	26,953	13,935	13,018	-9,737	-5,210	-4,527
2021	은평구	63,269	30,016	33,253	66,951	32,416	34,535	22,712	10,626	12,086	22,585	10,694	11,891	17,449	8,472	8,977	17,972	8,696	9,276	26,790	13,318	13,472	-3,682	-2,400	-1,282
2021	서대문구	42,484	20,134	22,350	47,061	22,507	24,554	8,262	3,866	4,396	18,595	8,895	9,700	21,779	10,357	11,422	15,627	7,373	8,254	17,020	8,284	8,736	-4,577	-2,373	-2,204
2021	마포구	61,543	28,849	32,694	62,124	29,357	32,767	13,751	6,399	7,352	26,924	12,777	14,147	26,899	12,616	14,283	20,868	9,673	11,195	21,474	10,342	11,132	-581	-508	-73
2021	양천구	54,952	27,139	27,813	60,442	30,048	30,394	15,867	7,732	8,135	23,326	11,400	11,926	22,780	11,094	11,686	15,759	8,007	7,752	21,795	11,222	10,573	-5,490	-2,909	-2,581
2021	강서구	87,269	41,993	45,276	91,368	44,848	46,520	28,004	13,255	14,749	31,430	15,091	16,339	25,250	12,261	12,989	27,835	13,647	14,188	38,114	19,332	18,782	-4,099	-2,855	-1,244
2021	구로구	48,170	23,910	24,260	54,880	27,540	27,340	11,292	5,544	5,748	18,189	9,002	9,187	17,645	8,721	8,924	18,689	9,364	9,325	25,943	13,275	12,668	-6,710	-3,630	-3,080
2021	금천구	35,663	18,407	17,256	35,047	18,306	16,741	8,884	4,548	4,336	12,626	6,451	6,175	9,594	4,921	4,673	14,153	7,408	6,745	16,569	8,837	7,732	616	101	515
2021	영등포구	60,565	30,065	30,500	61,108	30,800	30,308	11,395	5,802	5,593	26,801	13,135	13,666	26,255	13,045	13,210	22,369	11,128	11,241	23,458	11,953	11,505	-543	-735	192
2021	동작구	64,257	31,601	32,656	68,311	33,562	34,749	13,934	6,667	7,267	28,111	13,717	14,394	29,136	14,074	15,062	22,212	11,217	10,995	25,241	12,821	12,420	-4,054	-1,961	-2,093
2021	관악구	89,756	46,084	43,672	95,711	48,726	46,985	23,003	11,619	11,384	28,513	14,380	14,133	34,274	16,990	17,284	38,240	20,085	18,155	38,434	20,117	18,317	-5,955	-2,642	-3,313
2021	서초구	70,064	33,483	36,581	81,777	39,335	42,442	21,088	10,004	11,084	29,154	13,928	15,226	35,450	16,938	18,512	19,822	9,551	10,271	25,239	12,393	12,846	-11,713	-5,852	-5,861
2021	강남구	94,082	45,864	48,218	98,106	47,889	50,217	25,525	12,316	13,209	37,476	18,334	19,142	39,174	19,125	20,049	31,081	15,214	15,867	33,407	16,448	16,959	-4,024	-2,025	-1,999
2021	송파구	105,181	50,901	54,280	113,651	55,405	58,246	33,451	16,057	17,394	38,244	18,568	19,676	36,374	17,586	18,788	33,486	16,276	17,210	43,826	21,762	22,064	-8,470	-4,504	-3,966
2021	강동구	77,883	38,050	39,833	74,444	36,969	37,475	27,713	13,576	14,137	29,211	14,042	15,169	18,138	8,867	9,271	20,959	10,432	10,527	28,593	14,526	14,067	3,439	1,081	2,358
